32K	53.34	29.21	180.00	PAD_SMD_2,5X1	SMD_2,5X1
C1	115.57	67.31	0.00	100nF/50V 140000	C0805
C10	114.30	12.07	180.00	1µF/16V 140049	C0805
C11	95.25	6.99	90.00	100nF/50V 140000	C0805
C12	110.49	7.62	90.00	100nF/50V 140000	C0805
C13	100.33	22.86	90.00	100nF/50V 140000	C0805
C14	49.53	1.91	180.00	1µF/16V 140049	C0805
C15	39.37	67.31	180.00	100nF/50V 140000	C0805
C16	45.72	19.05	0.00	100nF/50V 140000	C0805
C18	40.64	44.45	180.00	1µF/16V 140049	C0805
C19	33.02	50.80	180.00	1µF/16V 140049	C0805
C2	125.73	67.31	0.00	1µF/16V 140049	C0805
C20	33.02	48.26	180.00	100nF/50V 140000	C0805
C23	83.19	8.89	90.00	100µF/35V 140086	RCL_CE_D
C24	82.55	60.96	180.00	100µF/35V 140086	RCL_CE_D
C25	120.65	13.97	0.00	100µF/35V 140086	RCL_CE_D
C26	138.43	57.15	270.00	100µF/35V 140086	RCL_CE_D
C27	114.30	19.69	180.00	1µF/16V 140049	C0805
C3	120.65	67.31	0.00	1µF/16V 140049	C0805
C4	130.81	67.31	0.00	1µF/16V 140049	C0805
C5	33.02	30.48	180.00	1µF/16V 140049	C0805
C6	45.72	26.67	0.00	1µF/16V 140049	C0805
C7	45.72	21.59	0.00	1µF/16V 140049	C0805
C8	130.81	8.89	180.00	100nF/50V 140000	C0805
C9	130.81	24.13	180.00	100nF/50V 140000	C0805
D1	34.16	38.98	270.00	MBRS360T3 160013	ROLF_SMC
D2	33.66	45.72	0.00	TS4148RY 160030	R1206
D3	60.96	7.62	90.00	TS4148RY 160030	R1206
D4	60.96	12.70	270.00	TS4148RY 160030	R1206
D7	76.20	15.24	180.00	TS4148RY 160030	R1206
D8	76.20	12.70	180.00	TS4148RY 160030	R1206
F1	38.10	12.07	180.00	1,85A / 250013	SMD2920
F2	40.01	35.56	270.00	1,85A / 250013	SMD2920
IC2	63.50	25.40	180.00	INA219BIDR	SOIC127P600X175-8N
IC3	39.37	50.16	0.00	LD1117S50 200345	SPANNUNGSREGLER_SOT-223
LED2	128.27	12.70	0.00	WS2812B5050	WS2812B
LED3	128.27	19.05	0.00	WS2812B5050	WS2812B
LED4	102.87	68.58	90.00		CHIP-LED0805
LED5	81.92	2.54	270.00		CHIP-LED0805
Q1	50.80	20.96	180.00	FDS6630 170040	SO08
R1	96.52	22.86	0.00	15R 120096	R0805
R10	33.02	27.94	0.00	tba	R0805
R11	33.02	33.02	180.00	tba	R0805
R12	45.72	24.13	0.00	10k 120004	R0805
R13	114.30	15.88	180.00	330R 120024	R0805
R14	33.02	53.34	0.00	1k 120015	R0805
R15	33.02	55.88	180.00	1k 120015	R0805
R16	33.02	58.42	0.00	10k 120004	R0805
R17	33.02	60.96	0.00	1k 120015	R0805
R18	33.02	63.50	180.00	1k 120015	R0805
R19	33.02	66.04	0.00	10k 120004	R0805
R2	123.83	21.59	90.00	10k 120004	R0805
R20	32.38	20.96	270.00	10k 120004	R0805
R21	32.38	24.77	270.00	1k 120015	R0805
R22	114.30	13.97	180.00	1k 120015	R0805
R23	96.52	3.81	0.00	10k 120004	R0805
R24	109.22	3.81	180.00	10k 120004	R0805
R25	105.41	22.86	270.00	10k 120004	R0805
R27	59.69	20.32	90.00	0R	R0805
R28	56.52	20.32	90.00	0R	R0805
R3	121.92	21.59	90.00	1k 120015	R0805
R31	34.93	20.96	90.00	10k 120004	R0805
R32	107.32	68.58	180.00	tba	R0805
R4	62.87	20.32	90.00	10k 120004	R0805
R40	119.38	18.41	180.00	tba	R0805
R41	114.30	17.78	180.00	tba	R0805
R42	75.56	2.54	0.00	tba	R0805
R45	39.37	60.33	180.00	n.b.	R0805
R46	33.02	68.58	0.00	n.b.	R0805
R5	66.04	20.32	90.00	1k 120015	R0805
R6	62.87	10.16	90.00	10k 120004	R0805
R7	66.04	10.16	90.00	1k 120015	R0805
R8	48.90	26.67	270.00	1k 120015	R0805
R9	50.80	26.67	270.00	10k 120004	R0805
S1	40.01	5.08	180.00		B3SN-3X12_SMD
SJ3	111.76	68.58	0.00	SJ	SJ
SJ4	71.76	2.54	180.00	SJ	SJ
SJ5	143.51	21.59	180.00	SJ	SJ
T1	117.48	24.08	180.00	BCX55-10 170000	SOT89-BCE
T2	64.77	17.09	180.00	BCX55-10 170000	SOT89-BCE
T3	64.77	6.93	180.00	BCX55-10 170000	SOT89-BCE
T4	37.52	57.15	270.00	BCX55-10 170000	SOT89-BCE
T5	37.52	63.50	270.00	BCX55-10 170000	SOT89-BCE
