Comment,Designator,Footprint,LCSC Part #
0R,R27 R28,R0805,
1 85A / 250013,F1,SMD2920,
1 85A / 250013,F2,SMD2920,
1R 1206,R26,R1206W,
1µF/16V 140049,C2 C3 C4 C5 C6 C7 C10 C14 C18 C19,C0805,
10k 120004,R2 R3 R4 R5 R6 R7 R8 R9 R12 R13 R14 R15 R16 R17 R18 R19 R20 R21 R22 R23 R24 R25 R31,R0805,
15R 120096,R1,R0805,
100nF/50V 140000,C1 C8 C9 C11 C12 C13 C15 C16 C20,C0805,
BCX55-10 170000,T1 T2 T3 T4 T5,SOT89-BCE,
FDS6630 170040,Q1,SO08,
INA219BIDR,IC2,SOIC127P600X175-8N,
LD1117S50 200345,IC3,SPANNUNGSREGLER_SOT-223,
MBRS360T3 160013,D1,ROLF_SMC,
TS4148RY 160030,D2,R1206,
Tactile Button - SMD (6mm),S1,TACTILE_SWITCH_SMD,
WS2812B5050,LED2 LED3,WS2812B,
tba,R10 R11 R32,R0805,
